"","Origin.ID","Destination.ID","Traffic.V"
"944",109,143,268
"945",171,167,267
"946",179,197,266
"947",39,167,266
"948",49,33,266
"949",189,55,264
"950",163,51,263
"951",49,41,263
"952",113,89,262
"953",149,13,262
"954",29,79,262
"955",131,71,261
"956",113,97,260
"957",119,81,260
"958",49,81,260
"959",99,91,259
"960",81,165,258
"961",91,99,258
"962",1,169,257
"963",115,143,257
"964",21,117,256
"965",51,163,255
"966",197,11,254
"967",143,115,253
"968",197,179,253
"969",91,89,253
"970",97,19,253
"971",85,31,252
"972",103,197,248
"973",115,135,248
"974",115,31,248
"975",183,29,248
"976",189,77,248
"977",169,67,246
"978",51,25,246
"979",113,201,245
"980",113,75,245
"981",117,21,245
"982",43,195,245
"983",7,197,245
"984",113,95,244
"985",197,143,244
"986",161,143,243
"987",195,99,243
"988",67,169,243
"989",143,197,242
"990",119,31,241
"991",89,91,241
"992",137,1,240
"993",117,5,239
"994",13,119,238
"995",143,105,238
"996",79,25,236
"997",89,113,235
"998",143,109,234
"999",199,65,233
"1000",5,117,233
"1001",95,113,233
"1002",199,153,232
"1003",81,25,232
"1004",199,157,230
"1005",201,93,230
"1006",195,43,229
"1007",55,121,229
"1008",65,199,229
"1009",105,143,228
"1010",107,31,228
"1011",135,173,228
"1012",147,29,228
"1013",53,39,228
"1014",79,29,228
"1015",157,199,226
"1016",93,103,226
"1017",103,93,225
"1018",179,39,224
"1019",183,91,224
"1020",185,191,224
"1021",29,21,223
"1022",167,43,221
"1023",29,31,221
"1024",43,167,221
"1025",169,137,220
"1026",31,73,220
"1027",75,113,220
"1028",105,167,219
"1029",109,71,219
"1030",91,97,219
"1031",95,175,219
"1032",135,115,218
"1033",197,7,218
"1034",147,167,216
"1035",17,171,215
"1036",31,29,215
"1037",37,63,215
"1038",39,179,215
"1039",175,123,214
"1040",71,109,214
"1041",171,17,213
"1042",183,115,212
"1043",55,87,212
"1044",97,113,212
"1045",113,91,211
"1046",153,199,211
"1047",165,81,211
"1048",21,29,211
"1049",93,201,211
"1050",31,85,208
"1051",11,63,207
"1052",13,149,207
"1053",163,49,207
"1054",167,105,207
"1055",179,161,207
"1056",137,169,206
"1057",15,161,206
"1058",97,91,206
"1059",161,103,205
"1060",191,185,205
"1061",31,115,205
"1062",41,173,205
"1063",89,195,205
"1064",143,155,204
"1065",19,203,203
"1066",201,161,203
"1067",29,147,202
"1068",179,175,201
"1069",55,181,200
"1070",115,49,199
"1071",157,27,199
"1072",197,161,199
"1073",39,53,199
"1074",161,15,198
"1075",173,135,198
"1076",121,191,197
"1077",63,37,197
"1078",25,81,195
"1079",63,11,195
"1080",119,137,194
"1081",49,163,194
"1082",53,197,194
"1083",141,11,192
"1084",167,147,192
"1085",175,95,192
"1086",191,121,192
"1087",55,157,192
"1088",113,125,191
"1089",121,55,191
"1090",91,113,190
"1091",87,55,189
"1092",197,73,188
